strain	Total_mutation
NIC1785	16.6315345699831
NIC1786	16.7851542080502
NIC1787	16.3292068820814
NIC1788	16.7105679064377
NIC1789	19.141689373297
NIC1790	17.3975796602642
NIC1791	17.0470994321345
NIC1792	16.2428587431388
NIC1794	16.6055910375877
NIC1796	17.2275132275132
NIC1798	17.1023622047244
NIC1799	16.4593654474544
NIC1801	17.690756659238
NIC1802	18.1420130829289
NIC1805	14.6895029946412
NIC1806	17.3030525542851
NIC1808	11.9777451186227
NIC1809	13.0566590006272
NIC1810	15.0555672048648
NIC1811	13.9486103828002
NIC1812	13.5435215250864
NIC1832	12.5925925925926
NIC195	15.6796917996698
NIC199	16.3769197952218
NIC2	3.52984758679086
NIC207	8.49439402028831
NIC231	11.7071303587052
NIC236	11.9567567567568
NIC242	7.54547377326565
NIC251	21.3315363881402
NIC252	15.0085306035402
NIC255	6.98492462311558
NIC256	14.7876532399299
NIC258	17.2666454284804
NIC259	12.1409644939057
NIC260	14.3867426641334
NIC261	17.3372154579142
NIC262	15.7865294249273
NIC265	18.6263972484953
NIC266	12.3541887592789
NIC267	12.3212783851976
NIC268	14.7507953340403
NIC269	14.6759847522236
NIC271	14.8923762061287
NIC272	11.8969607953904
NIC274	12.3928377645144
NIC275	11.2173729261334
NIC276	11.6317589228468
NIC277	10.5227032734952
NIC3	12.0081113668749
NIC501	13.4621409921671
NIC511	11.5508633243187
NIC513	11.9047619047619
NIC514	11.692035029191
NIC515	12.1286354633587
NIC522	9.23646604777303
NIC523	14.7150744869257
NIC526	12.9899916597164
NIC527	11.7650130548303
NIC528	10.1861480865225
NIC529	9.86479459178367
PB303	8.17052452750053
PS2025	14.5434107697249
PX179	6.53056861906798
QG2075	12.6231790916881
QG2811	7.05660377358491
QG2813	10.0469533667698
QG2818	9.24809644670051
QG2823	10.0010611205433
QG2824	10.9945692684485
QG2825	9.67242851045668
QG2827	12.6224968044312
QG2828	12.0107444359171
QG2832	11.9621066152858
QG2835	11.6472993329029
QG2836	11.1188661011489
QG2837	11.5042372881356
QG2838	11.6104868913858
QG2841	12.7167007645095
QG2843	9.26616253062094
QG2846	13.7149028077754
QG2850	10.2088661551577
QG2854	12.123128821421
QG2855	12.5443978043268
QG2857	11.7972696979469
QG2873	11.3164341250399
QG2874	11.3549007046765
QG2875	12.0050547598989
QG2877	11.1270600744285
